NCIC Category,Category Description
1,TREASON
2,MILITARY
3,IMMIGRATION
9,HOMICIDE
10,KIDNAPPING
11,SEXUAL ASSAULT
12,ROBBERY
13,ASSAULT
14,HEALTH AND SAFETY - ABORTION
16,THREATS
20,ARSON
21,EXTORTION
22,BURGLARY
23,STEALING
24,STEALING MOTOR VEHICLE
25,FORGERY
26,FRAUD
27,EMBEZZLEMENT
28,STOLEN PROPERTY
29,DAMAGE PROPERTY
35,DANGEROUS DRUGS
36,SEX OFFENSES
37,OBSCENITY
38,FAMILY OFFENSES
39,GAMBLING
40,COMMERCIALIZED SEXUAL OFFENSES
41,LIQUOR LAWS
48,OBSTRUCTING POLICE
49,FLIGHT / ESCAPE
50,OBSTRUCT JUSTICE
51,BRIBERY
52,WEAPONS
53,PEACE DISTURBANCE
54,MOTOR VEHICLE
55,HEALTH AND SAFETY
56,CIVIL RIGHTS
57,INVASION OF PRIVACY
58,SMUGGLING
59,ELECTION LAWS
60,ANTITRUST
61,TAX REVENUE
62,CONSERVATION
64,EXPLOITATION / ENTICEMENT
70,CRIMES AGAINST PERSON
71,FOREIGN PROPERTY DESTRUCTION
72,MORALS - DECENCY CRIMES
73,PUBLIC ORDER CRIMES
81,JUVENILE ESCAPE FROM CUSTODY
81,JUVENILE ABSCOND WHILE ON PAROLE
81,JUVENILE ABSCOND WHILE ON PROBATION
